PatientID,DataSilo,BirthDate,InsuranceStatus,SexNeuterStatus,VetCompassBreed,Bodyweight,DateofFirstPresentationofDiarrhoea,Duration,Vomiting,ReducedAppetite,Pyrexia,Hematochezia,AntibioticTreatment,GINutraceutical,DietaryManagement,Antiparasitic,GastrointestinalAgent,Resolution,ComorbidityatDiagnosis,TreatmentEscalation 
735534,0,03/01/2019 00:00,0,Female_Neutered,English Bull Terrier,13.2,18/06/2019 00:00,Less than 24hrs,1,0,1,0,Antibiotic,GInutraceutical,1,0,1,1,0,No
707305,0,29/10/2018 00:00,0,Female_Neutered,Rhodesian Ridgeback,30.9,15/04/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,1,0,1,1,No
432655,0,17/10/2018 00:00,0,Male_Entire,German Shepherd Dog,NA,05/04/2019 00:00,24hrs to 48hrs,0,0,0,0,Antibiotic,GInutraceutical,0,0,0,1,0,No
917957,3,14/07/2018 00:00,0,Male_Entire,Cavapoo,NA,04/01/2019 00:00,4-7 days.,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
295952,0,14/02/2019 00:00,0,Male_Entire,Crossbreed,NA,09/08/2019 00:00,48hrs to 96hrs,1,0,0,1,Antibiotic,GInutraceutical,0,0,1,1,0,No
969588,4,05/04/2019 00:00,0,Male_Entire,French Bulldog,10.7,30/09/2019 00:00,Not Stated,1,0,0,0,Antibiotic,GInutraceutical,1,1,0,1,0,No
926718,1,07/01/2019 00:00,1,Male_Entire,Cockapoo,9.45,07/07/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
591082,0,10/11/2018 00:00,0,Male_Entire,Crossbreed,7,11/05/2019 00:00,Less than 24hrs,1,1,0,1,Antibiotic,GInutraceutical,0,0,1,1,0,No
280762,3,12/10/2018 00:00,0,Male_Entire,German Shepherd Dog,NA,12/04/2019 00:00,4-7 days.,1,1,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
272986,0,08/06/2019 00:00,0,Male_Neutered,Crossbreed,4.6,09/12/2019 00:00,Less than 24hrs,0,1,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
971684,0,05/08/2018 00:00,0,Male_Entire,English Springer Spaniel,NA,05/02/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
670374,1,23/12/2018 00:00,0,Female_Entire,Crossbreed,7.2,26/06/2019 00:00,48hrs to 96hrs,0,1,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,0,No
555568,0,05/12/2018 00:00,1,Male_Neutered,Cockapoo,11.5,11/06/2019 00:00,Less than 24hrs,1,1,0,0,Antibiotic,GInutraceutical,1,1,1,1,0,No
806728,1,03/07/2018 00:00,1,Female_Entire,English Boxer,23,07/01/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
763220,3,05/09/2018 00:00,0,Male_Entire,Labrador Retriever,NA,18/03/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,1,No
958165,0,04/11/2018 00:00,0,Male_Neutered,Jack Russell Terrier,5.1,18/05/2019 00:00,4-7 days.,1,1,0,0,Antibiotic,GInutraceutical,0,0,1,1,0,No
520356,1,08/12/2018 00:00,0,Female_Neutered,Miniature Dachshund,NA,21/06/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,1,0,1,1,No
56510,0,28/05/2019 00:00,0,Male_Entire,French Bulldog,12.8,11/12/2019 00:00,48hrs to 96hrs,1,0,0,0,NonAntibiotic,GInutraceutical,0,0,0,1,0,No
226924,0,04/05/2019 00:00,0,Male_Entire,Cockapoo,8.6,19/11/2019 00:00,Not Stated,1,1,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
252457,0,23/03/2019 00:00,1,Male_Entire,Border Collie,14.5,09/10/2019 00:00,Not Stated,0,0,1,0,NonAntibiotic,GInutraceutical,0,0,0,1,1,No
184537,0,17/10/2018 00:00,1,Female_Neutered,Cavapoo,5,09/05/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,1,No
892,4,10/07/2018 00:00,0,Male_Entire,Pug,6,31/01/2019 00:00,48hrs to 96hrs,1,0,0,0,NonAntibiotic,GInutraceutical,0,0,1,1,0,No
718005,1,18/01/2019 00:00,1,Male_Neutered,Crossbreed,5.4,16/08/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
672835,0,29/06/2018 00:00,0,Female_Neutered,Cockapoo,8.37,25/01/2019 00:00,48hrs to 96hrs,1,0,0,0,Antibiotic,NoGInutraceutical,0,0,1,1,0,No
991912,0,10/05/2019 00:00,0,Male_Entire,German Shepherd Dog,29,06/12/2019 00:00,Less than 24hrs,1,1,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
753374,4,12/06/2018 00:00,1,Male_Entire,French Bulldog,10.75,10/01/2019 00:00,24hrs to 48hrs,1,1,1,0,Antibiotic,NoGInutraceutical,0,0,1,0,0,Yes
555255,3,09/02/2019 00:00,0,Male_Neutered,Whippet,11.2,09/09/2019 00:00,48hrs to 96hrs,1,1,1,0,Antibiotic,GInutraceutical,0,0,1,1,0,No
573909,4,07/01/2019 00:00,0,Male_Entire,Miniature Dachshund,7.6,08/08/2019 00:00,48hrs to 96hrs,0,0,0,1,Antibiotic,GInutraceutical,1,0,0,1,0,No
998242,3,01/11/2018 00:00,0,Female_Entire,Jack Russell Terrier,4.8,03/06/2019 00:00,24hrs to 48hrs,1,1,0,0,NonAntibiotic,GInutraceutical,0,0,1,1,0,No
65873,0,06/02/2019 00:00,0,Male_Neutered,Crossbreed,12.8,09/09/2019 00:00,24hrs to 48hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
734634,1,10/12/2018 00:00,0,Male_Entire,Standard Rottweiler,37.75,13/07/2019 00:00,24hrs to 48hrs,0,1,0,0,NonAntibiotic,GInutraceutical,1,1,0,1,0,No
721534,4,05/04/2019 00:00,0,Male_Entire,Cocker Spaniel,8.8,07/11/2019 00:00,4-7 days.,0,0,0,0,NonAntibiotic,GInutraceutical,0,1,0,1,0,No
595490,4,14/11/2018 00:00,0,Male_Entire,Rottweiler,35,19/06/2019 00:00,4-7 days.,1,0,0,0,Antibiotic,NoGInutraceutical,1,0,0,1,0,No
537452,2,24/08/2018 14:50,1,Male_Neutered,Crossbreed,NA,25/12/2019 00:00,Less than 24hrs,1,0,1,0,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
254035,4,24/01/2019 00:00,1,Male_Entire,French Bulldog,9.8,03/09/2019 00:00,Not Stated,1,0,0,0,NonAntibiotic,GInutraceutical,0,0,1,1,0,No
585342,3,27/03/2019 00:00,1,Male_Neutered,Greyhound,25.4,04/11/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,1,0,0,0,Yes
177350,0,27/09/2018 00:00,1,Female_Neutered,Cockapoo,6.1,08/05/2019 00:00,Less than 24hrs,1,0,0,0,Antibiotic,GInutraceutical,0,0,1,1,0,No
498042,0,19/01/2019 00:00,1,Male_Neutered,Shih-tzu,8.8,05/11/2019 00:00,4-7 days.,1,1,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,0,0,No
312694,0,13/10/2018 00:00,1,Female_Neutered,Cockapoo,9.3,16/09/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,GInutraceutical,0,0,1,1,0,No
993630,1,28/09/2018 00:00,1,Female_Neutered,Crossbreed,10,14/05/2019 00:00,48hrs to 96hrs,0,0,0,1,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
690844,1,28/07/2018 00:00,0,Male_Entire,Crossbreed,14,13/03/2019 00:00,4-7 days.,0,0,0,0,Antibiotic,NoGInutraceutical,0,0,0,1,0,No
631811,0,25/05/2018 00:00,0,Male_Neutered,Beagle,NA,11/01/2019 00:00,24hrs to 48hrs,0,0,0,0,Antibiotic,GInutraceutical,0,1,0,1,0,No
730361,1,02/05/2019 00:00,1,Female_Entire,English Springer Spaniel,12.15,20/12/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,1,No
174654,1,08/06/2018 00:00,0,Male_Neutered,Smooth-Haired Hungarian Vizsla,NA,29/01/2019 00:00,Not Stated,1,1,0,0,NonAntibiotic,GInutraceutical,0,0,0,1,1,No
912326,4,18/04/2019 00:00,0,Male_Neutered,Chihuahua,2.53,11/12/2019 00:00,48hrs to 96hrs,1,0,0,0,Antibiotic,GInutraceutical,1,0,0,1,0,No
366005,4,11/01/2019 00:00,1,Female_Neutered,Cavapoo,5.7,05/09/2019 00:00,48hrs to 96hrs,0,1,0,0,Antibiotic,NoGInutraceutical,0,0,1,0,0,Yes
301359,3,03/05/2019 00:00,1,Female_Entire,German Shepherd Dog,29.75,26/12/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,GInutraceutical,0,0,1,1,0,No
447627,0,20/11/2018 00:00,0,Female_Neutered,Beagle,6.02,17/07/2019 00:00,Less than 24hrs,1,0,0,1,Antibiotic,NoGInutraceutical,0,0,0,1,0,No
570709,1,17/10/2018 00:00,0,Female_Entire,Border Collie,13.3,19/06/2019 00:00,24hrs to 48hrs,0,0,0,1,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
99308,4,22/02/2019 00:00,0,Male_Neutered,Crossbreed,7.6,30/10/2019 00:00,4-7 days.,0,0,0,0,Antibiotic,NoGInutraceutical,0,0,0,1,0,No
324887,0,30/11/2018 00:00,0,Male_Entire,Crossbreed,3.8,08/08/2019 00:00,24hrs to 48hrs,1,1,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
628087,4,07/03/2019 00:00,0,Female_Entire,Bernese Mountain Dog,38.6,13/11/2019 00:00,4-7 days.,1,0,0,0,NonAntibiotic,GInutraceutical,1,1,0,1,0,No
250184,0,09/05/2018 00:00,1,Female_Neutered,French Bulldog,NA,16/01/2019 00:00,48hrs to 96hrs,0,1,1,0,NonAntibiotic,GInutraceutical,0,0,0,1,0,No
434876,0,24/11/2018 00:00,0,Male_Entire,Tibetan Terrier,11.26,06/08/2019 00:00,24hrs to 48hrs,0,1,1,0,NonAntibiotic,GInutraceutical,0,0,0,1,0,No
109403,1,13/05/2018 00:00,1,Male_Entire,English Springer Spaniel,19.1,23/01/2019 00:00,Not Stated,0,1,0,0,NonAntibiotic,GInutraceutical,0,1,0,1,0,No
248422,0,19/09/2018 00:00,0,Female_Entire,British Bulldog ,25,31/05/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
196212,4,11/05/2018 00:00,0,Male_Neutered,American Bulldog,25.8,25/01/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
743630,1,21/07/2018 00:00,1,Female_Entire,Staffordshire Bull Terrier,11.5,07/04/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
198106,4,10/03/2019 00:00,0,Female_Neutered,Maltese,3.88,28/11/2019 00:00,Less than 24hrs,1,1,0,0,NonAntibiotic,GInutraceutical,0,0,1,1,0,No
924187,0,16/10/2018 00:00,0,Female_Neutered,Yorkshire Terrier,3.4,08/07/2019 00:00,48hrs to 96hrs,1,0,0,0,NonAntibiotic,GInutraceutical,0,1,0,1,0,No
145308,0,25/07/2018 00:00,0,Male_Entire,Shih-tzu,5.4,18/04/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
96262,1,14/01/2019 00:00,0,Female_Entire,Chihuahua,2.01,10/10/2019 00:00,Less than 24hrs,0,1,0,0,NonAntibiotic,NoGInutraceutical,1,0,1,1,0,No
874120,0,23/08/2018 00:00,0,Female_Entire,Cockapoo,NA,22/05/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
