record_id	year	sex	age_and_grade	race4	race7
36622	1991	Female	14 years old;10th	Black or African American	Black or African American
40279	1991	Female	17 years old;12th	Black or African American	Black or African American
37245	1991	Female	15 years old;10th	Black or African American	Black or African American
32975	1991	Male	16 years old;10th	Black or African American	Black or African American
39625	1991	Female	16 years old;11th	Black or African American	Black or African American
31402	1991	Male	15 years old;10th	All other races	Asian
37958	1991	Female	15 years old;9th	Black or African American	Black or African American
37323	1991	Female	15 years old;9th	White	White
31360	1991	Male	15 years old;9th	Black or African American	Black or African American
39661	1991	Female	16 years old;11th	All other races	Asian
34467	1991	Male	17 years old;12th	Black or African American	Black or African American
41145	1991	Female	17 years old;12th	White	White
35659	1991	Male	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
42402	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
32791	1991	Male	16 years old;11th	Black or African American	Black or African American
34509	1991	Male	17 years old;11th	All other races	NA
34225	1991	Male	17 years old;12th	White	White
33817	1991	Male	17 years old;11th	Hispanic/Latino	Hispanic/Latino
38871	1991	Female	16 years old;11th	Black or African American	Black or African American
41639	1991	Female	17 years old;12th	All other races	NA
34287	1991	Male	17 years old;10th	White	White
35937	1991	Male	18 years old or older;12th	All other races	Asian
32548	1991	Male	16 years old;9th	Black or African American	Black or African American
39283	1991	Female	16 years old;10th	White	White
36078	1991	Male	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
31951	1991	Male	15 years old;9th	All other races	NA
33493	1991	Male	16 years old;11th	All other races	Asian
36590	1991	Female	13 years old;9th	White	White
41001	1991	Female	17 years old;10th	Black or African American	Black or African American
33736	1991	Male	16 years old;9th	White	White
34920	1991	Male	17 years old;11th	Black or African American	Black or African American
32279	1991	Male	16 years old;11th	White	White
36500	1991	Male	18 years old or older;12th	All other races	Asian
34559	1991	Male	17 years old;12th	Black or African American	Black or African American
37652	1991	Female	15 years old;11th	Hispanic/Latino	Hispanic/Latino
35401	1991	Male	18 years old or older;11th	White	White
35261	1991	Male	17 years old;10th	White	White
35603	1991	Male	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
39280	1991	Female	16 years old;10th	Black or African American	Black or African American
35339	1991	Male	18 years old or older;12th	White	White
30792	1991	Male	14 years old;9th	Black or African American	Black or African American
40381	1991	Female	17 years old;11th	Hispanic/Latino	Hispanic/Latino
32472	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
40987	1991	Female	17 years old;10th	Black or African American	Black or African American
32333	1991	Male	16 years old;10th	Black or African American	Black or African American
31259	1991	Male	15 years old;9th	White	White
36661	1991	Female	14 years old;9th	White	White
41895	1991	Female	18 years old or older;12th	Black or African American	Black or African American
30610	1991	Male	13 years old;9th	Black or African American	Black or African American
38167	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
41976	1991	Female	18 years old or older;12th	White	White
40315	1991	Female	17 years old;12th	Black or African American	Black or African American
37306	1991	Female	15 years old;9th	White	White
33921	1991	Male	17 years old;10th	Black or African American	Black or African American
36888	1991	Female	14 years old;9th	White	White
38855	1991	Female	16 years old;10th	White	White
31639	1991	Male	15 years old;10th	Black or African American	Black or African American
33954	1991	Male	17 years old;12th	Hispanic/Latino	Hispanic/Latino
31564	1991	Male	15 years old;10th	Black or African American	Black or African American
37766	1991	Female	15 years old;10th	White	White
32790	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
34065	1991	Male	17 years old;11th	Black or African American	Black or African American
34172	1991	Male	17 years old;12th	Black or African American	Black or African American
32781	1991	Male	16 years old;11th	Hispanic/Latino	Hispanic/Latino
40873	1991	Female	17 years old;11th	Black or African American	Black or African American
40831	1991	Female	17 years old;12th	Black or African American	Black or African American
35742	1991	Male	18 years old or older;12th	Black or African American	Black or African American
40178	1991	Female	16 years old;10th	All other races	Asian
39393	1991	Female	16 years old;11th	Hispanic/Latino	Hispanic/Latino
35435	1991	Male	18 years old or older;10th	Black or African American	Black or African American
40536	1991	Female	17 years old;12th	Black or African American	Black or African American
40875	1991	Female	17 years old;12th	Black or African American	Black or African American
41760	1991	Female	17 years old;10th	Hispanic/Latino	Hispanic/Latino
39089	1991	Female	16 years old;9th	Hispanic/Latino	Hispanic/Latino
31899	1991	Male	15 years old;9th	Hispanic/Latino	Hispanic/Latino
39080	1991	Female	16 years old;9th	Hispanic/Latino	Hispanic/Latino
32286	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
35970	1991	Male	18 years old or older;11th	All other races	Asian
36611	1991	Female	14 years old;9th	White	White
41997	1991	Female	18 years old or older;12th	Black or African American	Black or African American
40262	1991	Female	17 years old;12th	White	White
37718	1991	Female	15 years old;10th	Black or African American	Black or African American
32447	1991	Male	16 years old;11th	White	White
32330	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
36002	1991	Male	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
37270	1991	Female	15 years old;10th	White	White
40783	1991	Female	17 years old;12th	Hispanic/Latino	Hispanic/Latino
35444	1991	Male	18 years old or older;11th	White	White
35296	1991	Male	17 years old;11th	Hispanic/Latino	Hispanic/Latino
34021	1991	Male	17 years old;12th	White	White
37368	1991	Female	15 years old;9th	Black or African American	Black or African American
38975	1991	Female	16 years old;11th	Black or African American	Black or African American
32431	1991	Male	16 years old;11th	Hispanic/Latino	Hispanic/Latino
32102	1991	Male	15 years old;9th	All other races	NA
30680	1991	Male	14 years old;9th	Black or African American	Black or African American
36698	1991	Female	14 years old;9th	Hispanic/Latino	Hispanic/Latino
35818	1991	Male	18 years old or older;10th	Black or African American	Black or African American
39842	1991	Female	16 years old;9th	Black or African American	Black or African American
37359	1991	Female	15 years old;10th	White	White
34745	1991	Male	17 years old;12th	Hispanic/Latino	Hispanic/Latino
32451	1991	Male	16 years old;11th	White	White
35343	1991	Male	18 years old or older;12th	Black or African American	Black or African American
34238	1991	Male	17 years old;11th	Hispanic/Latino	Hispanic/Latino
37390	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
37427	1991	Female	15 years old;9th	Hispanic/Latino	Hispanic/Latino
37360	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
40684	1991	Female	17 years old;11th	All other races	Asian
35762	1991	Male	18 years old or older;12th	White	White
34032	1991	Male	17 years old;9th	Black or African American	Black or African American
40951	1991	Female	17 years old;12th	Hispanic/Latino	Hispanic/Latino
42069	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
34087	1991	Male	17 years old;12th	White	White
36708	1991	Female	14 years old;9th	All other races	NA
32788	1991	Male	16 years old;9th	Hispanic/Latino	Hispanic/Latino
35490	1991	Male	18 years old or older;12th	Black or African American	Black or African American
32969	1991	Male	16 years old;11th	Black or African American	Black or African American
39549	1991	Female	16 years old;12th	Hispanic/Latino	Hispanic/Latino
32215	1991	Male	15 years old;9th	All other races	Asian
38784	1991	Female	16 years old;10th	White	White
42000	1991	Female	18 years old or older;12th	All other races	Asian
41801	1991	Female	18 years old or older;12th	Black or African American	Black or African American
32211	1991	Male	15 years old;10th	All other races	Asian
35926	1991	Male	18 years old or older;12th	White	White
42622	1991	Female	18 years old or older;12th	All other races	Am Indian / Alaska Native
39874	1991	Female	16 years old;11th	Black or African American	Black or African American
32064	1991	Male	15 years old;9th	All other races	NA
34034	1991	Male	17 years old;10th	White	White
41573	1991	Female	17 years old;10th	Black or African American	Black or African American
32444	1991	Male	16 years old;9th	Black or African American	Black or African American
38741	1991	Female	16 years old;9th	Black or African American	Black or African American
31549	1991	Male	15 years old;9th	All other races	Asian
37379	1991	Female	15 years old;10th	White	White
41848	1991	Female	18 years old or older;12th	White	White
32673	1991	Male	16 years old;10th	Black or African American	Black or African American
38079	1991	Female	15 years old;9th	All other races	Am Indian / Alaska Native
41802	1991	Female	18 years old or older;12th	Black or African American	Black or African American
38963	1991	Female	16 years old;11th	White	White
34788	1991	Male	17 years old;12th	Hispanic/Latino	Hispanic/Latino
40640	1991	Female	17 years old;12th	White	White
36712	1991	Female	14 years old;9th	White	White
31482	1991	Male	15 years old;9th	White	White
38542	1991	Female	15 years old;10th	All other races	Asian
39331	1991	Female	16 years old;11th	Hispanic/Latino	Hispanic/Latino
33051	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
34569	1991	Male	17 years old;12th	Hispanic/Latino	Hispanic/Latino
33924	1991	Male	17 years old;11th	White	White
40928	1991	Female	17 years old;11th	Black or African American	Black or African American
30896	1991	Male	14 years old;9th	White	White
36779	1991	Female	14 years old;9th	White	White
31529	1991	Male	15 years old;10th	Hispanic/Latino	Hispanic/Latino
42419	1991	Female	18 years old or older;11th	White	White
38387	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
34222	1991	Male	17 years old;9th	Black or African American	Black or African American
33944	1991	Male	17 years old;12th	White	White
41309	1991	Female	17 years old;11th	Hispanic/Latino	Hispanic/Latino
30620	1991	Male	14 years old;9th	White	White
37869	1991	Female	15 years old;10th	Black or African American	Black or African American
39558	1991	Female	16 years old;12th	Hispanic/Latino	Hispanic/Latino
36692	1991	Female	14 years old;9th	Hispanic/Latino	Hispanic/Latino
37157	1991	Female	14 years old;9th	White	White
33078	1991	Male	16 years old;9th	Black or African American	Black or African American
34973	1991	Male	17 years old;11th	Black or African American	Black or African American
30657	1991	Male	14 years old;9th	White	White
37265	1991	Female	15 years old;10th	White	White
33912	1991	Male	17 years old;12th	Black or African American	Black or African American
33884	1991	Male	17 years old;11th	White	White
34252	1991	Male	17 years old;12th	White	White
31368	1991	Male	15 years old;10th	Hispanic/Latino	Hispanic/Latino
34851	1991	Male	17 years old;9th	Black or African American	Black or African American
42498	1991	Female	18 years old or older;11th	All other races	Asian
31112	1991	Male	15 years old;9th	White	White
40036	1991	Female	16 years old;11th	All other races	Asian
36191	1991	Male	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
34770	1991	Male	17 years old;12th	All other races	NA
35364	1991	Male	18 years old or older;11th	Black or African American	Black or African American
38226	1991	Female	15 years old;10th	Black or African American	Black or African American
32631	1991	Male	16 years old;11th	Hispanic/Latino	Hispanic/Latino
37678	1991	Female	15 years old;9th	White	White
36628	1991	Female	14 years old;9th	White	White
31106	1991	Male	15 years old;9th	Black or African American	Black or African American
37778	1991	Female	15 years old;9th	White	White
37356	1991	Female	15 years old;10th	White	White
42031	1991	Female	18 years old or older;12th	White	White
40707	1991	Female	17 years old;10th	Hispanic/Latino	Hispanic/Latino
32538	1991	Male	16 years old;11th	Black or African American	Black or African American
32310	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
33428	1991	Male	16 years old;11th	White	White
37864	1991	Female	15 years old;9th	Black or African American	Black or African American
39223	1991	Female	16 years old;10th	White	White
41882	1991	Female	18 years old or older;12th	White	White
32592	1991	Male	16 years old;10th	All other races	Asian
40328	1991	Female	17 years old;12th	White	White
38721	1991	Female	16 years old;10th	Hispanic/Latino	Hispanic/Latino
42095	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
30836	1991	Male	14 years old;9th	Hispanic/Latino	Hispanic/Latino
37246	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
38843	1991	Female	16 years old;10th	White	White
41973	1991	Female	18 years old or older;12th	Black or African American	Black or African American
33591	1991	Male	16 years old;9th	Hispanic/Latino	Hispanic/Latino
30767	1991	Male	14 years old;9th	All other races	NA
35532	1991	Male	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
38827	1991	Female	16 years old;11th	Black or African American	Black or African American
36642	1991	Female	14 years old;9th	All other races	NA
32919	1991	Male	16 years old;11th	White	White
38809	1991	Female	16 years old;10th	White	White
32159	1991	Male	15 years old;10th	White	White
34342	1991	Male	17 years old;11th	All other races	NA
30596	1991	NA	17 years old;NA	All other races	NA
32877	1991	Male	16 years old;9th	Black or African American	Black or African American
31983	1991	Male	15 years old;9th	Black or African American	Black or African American
33953	1991	Male	17 years old;12th	White	White
37239	1991	Female	15 years old;9th	White	White
38782	1991	Female	16 years old;10th	White	White
37135	1991	Female	14 years old;9th	All other races	Asian
42603	1991	Female	18 years old or older;11th	Black or African American	Black or African American
34152	1991	Male	17 years old;11th	Hispanic/Latino	Hispanic/Latino
32380	1991	Male	16 years old;10th	White	White
36010	1991	Male	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
42541	1991	Female	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
35755	1991	Male	18 years old or older;11th	Black or African American	Black or African American
36607	1991	Female	14 years old;9th	White	White
33830	1991	Male	17 years old;11th	Black or African American	Black or African American
33130	1991	Male	16 years old;10th	White	White
42476	1991	Female	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
35397	1991	Male	18 years old or older;12th	Black or African American	Black or African American
31062	1991	Male	15 years old;9th	White	White
36364	1991	Male	18 years old or older;9th	All other races	NA
33848	1991	Male	17 years old;12th	White	White
37229	1991	Female	15 years old;10th	White	White
40357	1991	Female	17 years old;12th	Hispanic/Latino	Hispanic/Latino
30751	1991	Male	14 years old;9th	Hispanic/Latino	Hispanic/Latino
40595	1991	Female	17 years old;11th	Hispanic/Latino	Hispanic/Latino
32379	1991	Male	16 years old;10th	Black or African American	Black or African American
42187	1991	Female	18 years old or older;11th	Black or African American	Black or African American
33858	1991	Male	17 years old;11th	Black or African American	Black or African American
38806	1991	Female	16 years old;11th	Black or African American	Black or African American
39916	1991	Female	16 years old;11th	White	White
34100	1991	Male	17 years old;11th	Black or African American	Black or African American
41906	1991	Female	18 years old or older;12th	Black or African American	Black or African American
40914	1991	Female	17 years old;12th	All other races	NA
34004	1991	Male	17 years old;12th	White	White
30606	1991	Male	12 years old or younger;NA	Black or African American	Black or African American
34060	1991	Male	17 years old;11th	White	White
32486	1991	Male	16 years old;9th	Hispanic/Latino	Hispanic/Latino
35404	1991	Male	18 years old or older;11th	White	White
38985	1991	Female	16 years old;11th	White	White
37419	1991	Female	15 years old;10th	Black or African American	Black or African American
33545	1991	Male	16 years old;11th	All other races	Asian
35565	1991	Male	18 years old or older;12th	Black or African American	Black or African American
32292	1991	Male	16 years old;10th	Black or African American	Black or African American
30894	1991	Male	14 years old;9th	Black or African American	Black or African American
41825	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
36836	1991	Female	14 years old;9th	White	White
32480	1991	Male	16 years old;9th	Black or African American	Black or African American
36818	1991	Female	14 years old;9th	White	White
37067	1991	Female	14 years old;9th	Hispanic/Latino	Hispanic/Latino
41816	1991	Female	18 years old or older;12th	All other races	Asian
37457	1991	Female	15 years old;9th	Black or African American	Black or African American
40863	1991	Female	17 years old;11th	All other races	Asian
34168	1991	Male	17 years old;10th	White	White
33937	1991	Male	17 years old;11th	White	White
38819	1991	Female	16 years old;11th	White	White
40687	1991	Female	17 years old;11th	Hispanic/Latino	Hispanic/Latino
40804	1991	Female	17 years old;10th	Black or African American	Black or African American
41129	1991	Female	17 years old;10th	Hispanic/Latino	Hispanic/Latino
32197	1991	Male	15 years old;10th	Black or African American	Black or African American
36458	1991	Male	18 years old or older;10th	Black or African American	Black or African American
38825	1991	Female	16 years old;10th	White	White
31371	1991	Male	15 years old;9th	White	White
35208	1991	Male	17 years old;12th	Black or African American	Black or African American
31854	1991	Male	15 years old;9th	Black or African American	Black or African American
34039	1991	Male	17 years old;10th	Hispanic/Latino	Hispanic/Latino
37211	1991	Female	14 years old;9th	Hispanic/Latino	Hispanic/Latino
37203	1991	Female	14 years old;9th	All other races	Asian
39773	1991	Female	16 years old;10th	Hispanic/Latino	Hispanic/Latino
38122	1991	Female	15 years old;9th	All other races	NA
40372	1991	Female	17 years old;12th	Hispanic/Latino	Hispanic/Latino
39076	1991	Female	16 years old;9th	Hispanic/Latino	Hispanic/Latino
41953	1991	Female	18 years old or older;12th	Black or African American	Black or African American
35152	1991	Male	17 years old;12th	Black or African American	Black or African American
39214	1991	Female	16 years old;10th	Black or African American	Black or African American
42543	1991	Female	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
40424	1991	Female	17 years old;11th	White	White
34469	1991	Male	17 years old;12th	Black or African American	Black or African American
31533	1991	Male	15 years old;10th	White	White
38854	1991	Female	16 years old;11th	Hispanic/Latino	Hispanic/Latino
38230	1991	Female	15 years old;10th	Black or African American	Black or African American
31441	1991	Male	15 years old;10th	Black or African American	Black or African American
38256	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
39568	1991	Female	16 years old;9th	White	White
32152	1991	Male	15 years old;10th	All other races	NA
40105	1991	Female	16 years old;11th	Black or African American	Black or African American
30727	1991	Male	14 years old;9th	Hispanic/Latino	Hispanic/Latino
32308	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
32108	1991	Male	15 years old;9th	Black or African American	Black or African American
40838	1991	Female	17 years old;11th	Black or African American	Black or African American
39388	1991	Female	16 years old;10th	All other races	NA
41784	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
41916	1991	Female	18 years old or older;12th	Black or African American	Black or African American
39292	1991	Female	16 years old;11th	Hispanic/Latino	Hispanic/Latino
30883	1991	Male	14 years old;9th	All other races	NA
36153	1991	Male	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
35400	1991	Male	18 years old or older;12th	Black or African American	Black or African American
34436	1991	Male	17 years old;12th	White	White
36632	1991	Female	14 years old;9th	Black or African American	Black or African American
37646	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
40884	1991	Female	17 years old;12th	Black or African American	Black or African American
40344	1991	Female	17 years old;12th	White	White
42743	1991	Female	18 years old or older;11th	Black or African American	Black or African American
34810	1991	Male	17 years old;12th	Hispanic/Latino	Hispanic/Latino
36188	1991	Male	18 years old or older;12th	White	White
41809	1991	Female	18 years old or older;10th	Black or African American	Black or African American
39289	1991	Female	16 years old;10th	All other races	Asian
41971	1991	Female	18 years old or older;12th	All other races	NA
35725	1991	Male	18 years old or older;11th	White	White
34125	1991	Male	17 years old;11th	White	White
42838	1991	Female	18 years old or older;11th	White	White
32281	1991	Male	16 years old;10th	Black or African American	Black or African American
38043	1991	Female	15 years old;9th	Black or African American	Black or African American
30734	1991	Male	14 years old;9th	Hispanic/Latino	Hispanic/Latino
38893	1991	Female	16 years old;11th	Hispanic/Latino	Hispanic/Latino
41813	1991	Female	18 years old or older;12th	Black or African American	Black or African American
39040	1991	Female	16 years old;11th	White	White
32499	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
37092	1991	Female	14 years old;9th	Hispanic/Latino	Hispanic/Latino
36303	1991	Male	18 years old or older;12th	Black or African American	Black or African American
38683	1991	Female	16 years old;10th	Hispanic/Latino	Hispanic/Latino
36725	1991	Female	14 years old;9th	All other races	Asian
31209	1991	Male	15 years old;9th	Hispanic/Latino	Hispanic/Latino
35759	1991	Male	18 years old or older;11th	White	White
42017	1991	Female	18 years old or older;12th	All other races	NA
36279	1991	Male	18 years old or older;11th	White	White
42195	1991	Female	18 years old or older;12th	Black or African American	Black or African American
34196	1991	Male	17 years old;12th	White	White
34368	1991	Male	17 years old;11th	Hispanic/Latino	Hispanic/Latino
37403	1991	Female	15 years old;9th	Hispanic/Latino	Hispanic/Latino
39482	1991	Female	16 years old;11th	All other races	Asian
33828	1991	Male	17 years old;12th	White	White
32393	1991	Male	16 years old;10th	White	White
40467	1991	Female	17 years old;11th	Black or African American	Black or African American
31471	1991	Male	15 years old;9th	Black or African American	Black or African American
40712	1991	Female	17 years old;11th	Hispanic/Latino	Hispanic/Latino
32376	1991	Male	16 years old;11th	White	White
37328	1991	Female	15 years old;10th	Black or African American	Black or African American
35817	1991	Male	18 years old or older;10th	Black or African American	Black or African American
36542	1991	Male	18 years old or older;11th	Black or African American	Black or African American
41234	1991	Female	17 years old;12th	Black or African American	Black or African American
33827	1991	Male	17 years old;11th	White	White
35393	1991	Male	18 years old or older;12th	White	White
33947	1991	Male	17 years old;11th	White	White
37503	1991	Female	15 years old;10th	White	White
39353	1991	Female	16 years old;9th	Black or African American	Black or African American
37401	1991	Female	15 years old;9th	White	White
37988	1991	Female	15 years old;9th	White	White
33630	1991	Male	16 years old;10th	Black or African American	Black or African American
31079	1991	Male	15 years old;10th	White	White
34922	1991	Male	17 years old;11th	White	White
37123	1991	Female	14 years old;9th	All other races	Am Indian / Alaska Native
37760	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
37032	1991	Female	14 years old;9th	All other races	NA
37244	1991	Female	15 years old;10th	White	White
34386	1991	Male	17 years old;11th	White	White
37620	1991	Female	15 years old;9th	Black or African American	Black or African American
32651	1991	Male	16 years old;9th	Black or African American	Black or African American
34223	1991	Male	17 years old;11th	Black or African American	Black or African American
37686	1991	Female	15 years old;9th	Hispanic/Latino	Hispanic/Latino
32571	1991	Male	16 years old;9th	All other races	Asian
32568	1991	Male	16 years old;11th	Hispanic/Latino	Hispanic/Latino
37540	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
30698	1991	Male	14 years old;9th	White	White
42373	1991	Female	18 years old or older;12th	Black or African American	Black or African American
39221	1991	Female	16 years old;10th	White	White
31167	1991	Male	15 years old;10th	Black or African American	Black or African American
30708	1991	Male	14 years old;9th	White	White
35342	1991	Male	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
36610	1991	Female	14 years old;9th	Black or African American	Black or African American
38890	1991	Female	16 years old;11th	White	White
34094	1991	Male	17 years old;12th	All other races	Asian
37418	1991	Female	15 years old;10th	White	White
42045	1991	Female	18 years old or older;12th	White	White
40427	1991	Female	17 years old;11th	Hispanic/Latino	Hispanic/Latino
37998	1991	Female	15 years old;9th	Black or African American	Black or African American
35085	1991	Male	17 years old;11th	Black or African American	Black or African American
37557	1991	Female	15 years old;9th	Hispanic/Latino	Hispanic/Latino
33080	1991	Male	16 years old;12th	Hispanic/Latino	Hispanic/Latino
39753	1991	Female	16 years old;9th	All other races	Asian
35736	1991	Male	18 years old or older;12th	White	White
40748	1991	Female	17 years old;10th	White	White
